iter	Passed	Remaining
203	2073	8089
204	2082	8074
205	2092	8064
206	2101	8051
207	2113	8045
208	2123	8038
209	2134	8030
210	2145	8023
211	2156	8015
212	2168	8013
213	2179	8004
214	2189	7992
215	2199	7984
216	2209	7972
217	2219	7963
218	2230	7953
219	2241	7945
220	2251	7934
221	2261	7925
222	2272	7917
223	2282	7905
224	2293	7900
225	2303	7890
226	2314	7882
227	2326	7876
228	2336	7866
229	2347	7860
230	2357	7848
231	2367	7836
232	2376	7822
233	2385	7810
234	2395	7799
235	2405	7787
236	2416	7778
237	2426	7769
238	2436	7759
239	2447	7751
240	2456	7737
241	2466	7727
242	2476	7714
243	2486	7703
244	2496	7691
245	2505	7680
246	2516	7671
247	2528	7667
248	2543	7670
249	2553	7661
250	2564	7653
251	2577	7650
252	2590	7648
253	2600	7637
254	2611	7628
255	2620	7617
256	2631	7608
257	2641	7597
258	2652	7588
259	2664	7583
260	2674	7573
261	2686	7567
262	2698	7562
263	2707	7549
264	2719	7541
265	2729	7532
266	2741	7525
267	2750	7513
268	2760	7502
269	2772	7494
270	2782	7485
271	2794	7479
272	2804	7468
273	2816	7461
274	2827	7453
275	2838	7444
276	2848	7435
277	2858	7424
278	2870	7417
279	2880	7406
280	2889	7394
281	2901	7388
282	2911	7376
283	2921	7365
284	2930	7352
285	2939	7338
286	2949	7326
287	2958	7313
288	2967	7299
289	2976	7288
290	2986	7276
291	2997	7267
292	3007	7256
293	3017	7245
294	3026	7231
295	3037	7223
296	3053	7228
297	3063	7217
298	3072	7204
299	3083	7194
300	3092	7181
301	3102	7169
302	3113	7161
303	3124	7153
304	3133	7140
305	3142	7127
306	3151	7114
307	3160	7101
308	3170	7090
309	3180	7078
310	3189	7065
311	3198	7053
312	3207	7040
313	3216	7028
314	3226	7017
315	3236	7005
316	3245	6993
317	3255	6982
318	3265	6971
319	3275	6959
320	3286	6951
321	3295	6939
322	3306	6930
323	3317	6921
324	3328	6912
325	3337	6900
326	3347	6889
327	3357	6878
328	3366	6866
329	3376	6854
330	3385	6842
331	3395	6831
332	3404	6818
333	3414	6808
334	3423	6795
335	3434	6787
336	3443	6775
337	3454	6766
338	3463	6753
339	3473	6743
340	3484	6734
341	3496	6727
342	3507	6718
343	3518	6709
344	3529	6700
345	3540	6691
346	3554	6688
347	3565	6679
348	3577	6673
349	3592	6672
350	3607	6671
351	3624	6671
352	3638	6669
353	3652	6665
354	3666	6662
355	3680	6658
356	3696	6657
357	3710	6654
358	3723	6648
359	3739	6647
360	3753	6643
361	3768	6642
362	3785	6643
363	3802	6644
364	3817	6641
365	3832	6639
366	3847	6636
367	3862	6634
368	3876	6629
369	3890	6625
370	3908	6625
371	3922	6621
372	3936	6616
373	3952	6616
374	3968	6613
375	3983	6611
376	3997	6606
377	4012	6603
378	4027	6599
379	4042	6595
380	4056	6590
381	4070	6585
382	4084	6580
383	4098	6575
384	4113	6570
385	4127	6565
386	4142	6562
387	4157	6558
388	4172	6553
389	4186	6548
390	4201	6544
391	4218	6543
392	4233	6539
393	4248	6534
394	4262	6529
395	4278	6526
396	4295	6523
397	4309	6518
398	4322	6511
399	4334	6501
400	4347	6493
401	4357	6481
402	4366	6468
403	4375	6455
404	4385	6443
405	4395	6430
406	4405	6418
407	4414	6405
408	4424	6393
409	4434	6380
