[I 2023-11-10 03:08:58,952] A new study created in memory with name: no-name-7fcc14aa-9232-45c3-a6be-ae5a363d33ca
[I 2023-11-10 05:22:19,304] Trial 25 finished with value: 45678.92780479945 and parameters: {'N': 6, 'n_neurons_1': 147, 'n_neurons_2': 159, 'n_neurons_3': 106, 'n_neurons_4': 93, 'kernel_regularizer': 0.02077599207374665, 'learning_rate': 0.006986549497201996, 'min_delta': 1.6925327370439542, 'patience': 6, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 05:26:46,627] Trial 26 finished with value: 239522.27204062816 and parameters: {'N': 8, 'n_neurons_1': 221, 'n_neurons_2': 122, 'n_neurons_3': 129, 'n_neurons_4': 80, 'kernel_regularizer': 0.031239761477136096, 'learning_rate': 0.005755306720726793, 'min_delta': 0.4460377513977515, 'patience': 8, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 05:29:54,976] Trial 27 finished with value: 64633.62412207884 and parameters: {'N': 7, 'n_neurons_1': 186, 'n_neurons_2': 145, 'n_neurons_3': 121, 'n_neurons_4': 56, 'kernel_regularizer': 0.04351177359279651, 'learning_rate': 0.004608504144580191, 'min_delta': 0.05487506717052677, 'patience': 4, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 05:52:41,756] Trial 28 finished with value: 57971.55941875608 and parameters: {'N': 9, 'n_neurons_1': 255, 'n_neurons_2': 138, 'n_neurons_3': 141, 'n_neurons_4': 85, 'kernel_regularizer': 0.03402052623701197, 'learning_rate': 0.003684579917665014, 'min_delta': 0.9559277982509686, 'patience': 9, 'batch_size': 16}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 06:03:03,099] Trial 29 finished with value: 40195.48231291027 and parameters: {'N': 6, 'n_neurons_1': 211, 'n_neurons_2': 126, 'n_neurons_3': 102, 'n_neurons_4': 93, 'kernel_regularizer': 0.026438906923779447, 'learning_rate': 0.003909985363501527, 'min_delta': 0.5144691200997427, 'patience': 6, 'batch_size': 16}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 06:05:01,466] Trial 30 finished with value: 162471.08753990175 and parameters: {'N': 7, 'n_neurons_1': 195, 'n_neurons_2': 114, 'n_neurons_3': 108, 'n_neurons_4': 73, 'kernel_regularizer': 0.04915892251179782, 'learning_rate': 0.005791110448823119, 'min_delta': 0.9509961660387256, 'patience': 4, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 06:08:22,172] Trial 31 finished with value: 43885.32979310341 and parameters: {'N': 6, 'n_neurons_1': 235, 'n_neurons_2': 154, 'n_neurons_3': 150, 'n_neurons_4': 100, 'kernel_regularizer': 0.031323850960483506, 'learning_rate': 0.004515344522924366, 'min_delta': 0.7715443687190722, 'patience': 5, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 06:11:31,212] Trial 32 finished with value: 35213.380179070955 and parameters: {'N': 6, 'n_neurons_1': 250, 'n_neurons_2': 134, 'n_neurons_3': 144, 'n_neurons_4': 97, 'kernel_regularizer': 0.026054940902178997, 'learning_rate': 0.004258945007439341, 'min_delta': 0.4614812076409356, 'patience': 5, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 06:16:23,636] Trial 33 finished with value: 37130.40602435933 and parameters: {'N': 7, 'n_neurons_1': 275, 'n_neurons_2': 147, 'n_neurons_3': 136, 'n_neurons_4': 90, 'kernel_regularizer': 0.0347931270365581, 'learning_rate': 0.0030392404219663485, 'min_delta': 0.023363554737693137, 'patience': 7, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 06:19:17,084] Trial 34 finished with value: 55007.941715692665 and parameters: {'N': 5, 'n_neurons_1': 215, 'n_neurons_2': 169, 'n_neurons_3': 146, 'n_neurons_4': 95, 'kernel_regularizer': 0.041327009780205946, 'learning_rate': 0.004928956764335877, 'min_delta': 1.4386288194969563, 'patience': 6, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 06:23:03,034] Trial 35 finished with value: 38371.65133914823 and parameters: {'N': 6, 'n_neurons_1': 228, 'n_neurons_2': 156, 'n_neurons_3': 139, 'n_neurons_4': 100, 'kernel_regularizer': 0.028373646659226655, 'learning_rate': 0.003241275415683491, 'min_delta': 1.0214879887789445, 'patience': 8, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 06:30:50,997] Trial 36 finished with value: 434613.9798048484 and parameters: {'N': 8, 'n_neurons_1': 243, 'n_neurons_2': 185, 'n_neurons_3': 131, 'n_neurons_4': 93, 'kernel_regularizer': 0.023659886613124924, 'learning_rate': 0.0041165219222730415, 'min_delta': 0.7048242496286747, 'patience': 9, 'batch_size': 32}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 06:31:40,561] Trial 37 finished with value: 363715.36191038496 and parameters: {'N': 7, 'n_neurons_1': 128, 'n_neurons_2': 137, 'n_neurons_3': 124, 'n_neurons_4': 87, 'kernel_regularizer': 0.035553607759221034, 'learning_rate': 0.004884899138103801, 'min_delta': 1.886927226401964, 'patience': 4, 'batch_size': 128}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 06:35:21,133] Trial 38 finished with value: 84379.33002656384 and parameters: {'N': 6, 'n_neurons_1': 272, 'n_neurons_2': 126, 'n_neurons_3': 98, 'n_neurons_4': 98, 'kernel_regularizer': 0.0316736686287561, 'learning_rate': 0.0025462834192779196, 'min_delta': 0.3187633355887952, 'patience': 3, 'batch_size': 32}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 06:38:27,001] Trial 39 finished with value: 41534.579786312715 and parameters: {'N': 5, 'n_neurons_1': 204, 'n_neurons_2': 152, 'n_neurons_3': 86, 'n_neurons_4': 82, 'kernel_regularizer': 0.04538578409390319, 'learning_rate': 0.007401631236983069, 'min_delta': 1.3314928462086795, 'patience': 10, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 06:52:44,250] Trial 40 finished with value: 84621.37243068455 and parameters: {'N': 9, 'n_neurons_1': 114, 'n_neurons_2': 165, 'n_neurons_3': 86, 'n_neurons_4': 68, 'kernel_regularizer': 0.03635499533747101, 'learning_rate': 0.006566625190820984, 'min_delta': 0.8803954122025403, 'patience': 7, 'batch_size': 16}. Best is trial 16 with value: 20697.670790523138.
